order_id,order_date,customer_type,product,quantity,unit_price,has_discount
ORD00001,2025-02-16,Regular,Mouse,20,26.89,True
ORD00002,2025-12-01,Premium,Desk,20,,True
ORD00003,2025-05-23,Regular,Monitor,9,295.01,True
ORD00004,2025-06-15,Premium,Monitor,11,303.39,False
ORD00005,2025-10-28,,Laptop,10,999.79,False
ORD00006,2025-08-11,Premium,Keyboard,6,51.44,True
ORD00007,2025-03-09,Regular,Laptop,1,998.03,False
ORD00008,2025-08-04,Premium,Laptop,10,998.28,True
ORD00009,2025-07-26,Premium,Mouse,10,25.74,True
ORD00010,2025-10-15,Regular,Monitor,10,,False
ORD00011,2025-06-25,Premium,Chair,1,153.37,False
ORD00012,2025-03-25,Corporate,Mouse,12,28.27,False
ORD00013,2025-07-07,Regular,Laptop,14,1002.64,False
ORD00014,2025-06-02,Regular,Laptop,5,995.43,False
ORD00015,2025-02-17,Regular,Monitor,5,300.48,False
ORD00016,2025-06-24,Regular,Chair,12,153.07,False
ORD00017,2025-10-20,Corporate,Monitor,5,298.59,False
ORD00018,2025-06-02,Regular,Mouse,1,30.07,True
ORD00019,2025-10-14,Regular,Keyboard,2,47.49,True
ORD00020,2025-01-08,Corporate,Keyboard,14,49.3,False
ORD00021,2025-11-22,Premium,Monitor,2,297.99,False
ORD00022,2025-11-23,Premium,Desk,13,203.97,False
ORD00023,2025-10-23,Regular,Laptop,17,1000.75,True
ORD00024,2025-03-26,Regular,Monitor,17,295.38,True
ORD00025,2025-11-01,Regular,Mouse,9,25.47,False
ORD00026,2025-03-24,Premium,Chair,16,151.93,True
ORD00027,2025-12-10,Regular,Keyboard,18,53.07,False
ORD00028,2025-04-09,Corporate,Desk,13,203.1,False
ORD00029,2025-08-09,Premium,Desk,12,195.5,False
ORD00030,2025-12-02,Premium,Mouse,7,27.21,False
ORD00031,2025-11-24,Corporate,Keyboard,8,54.71,False
ORD00032,2025-03-31,Premium,Desk,19,201.43,True
ORD00033,2025-11-24,Premium,Laptop,7,,True
ORD00034,2025-07-24,Premium,Laptop,12,1000.17,True
ORD00035,2025-05-31,Premium,Chair,13,145.9,True
ORD00036,2025-09-21,Premium,Keyboard,1,53.75,False
ORD00037,2025-11-22,Corporate,Keyboard,4,52.54,False
ORD00038,2025-11-21,Premium,Laptop,18,997.92,True
ORD00039,2025-04-29,Corporate,Laptop,1,996.09,False
ORD00040,2025-03-16,Premium,Desk,7,204.2,False
